University,CGPA,GRE,TOEFL,IELTS,Gap_year,Ugrad_Major,Work_Experience,Degree,Paper,Funding,Ugrad,Decision
University of Texas at Dallas,3.9,318,101,7.1,0,Mathematics,Full-time Job,MS,0,None,NSU,Accepted
Mississippi State University,3.46,303,95,8.2,2,CE,Full-time Job,PhD,3+,None,BUET,Accepted
Buffalo State University,3.6,308,99,6.8,0,ME,None,PhD,2+,None,DU,Rejected
Lehigh University,3.61,304,90,7.2,0,Biology,Full-time Job,PhD,0,Partial,CUET,Rejected
George Mason University,3.4,315,104,7.1,1,Mathematics,Full-time Job,PhD,0,Partial,DU,Accepted
University of Notre Dame,3.11,291,92,7.6,0,Physics,Internship,PhD,3+,Full,BUET,Accepted
Iowa State University,3.22,323,86,7.6,1,CE,None,MS,2+,Full,CUET,Accepted
University of Delaware,3.31,296,80,8.4,2,ME,None,MS,3,Partial,DU,Rejected
George Mason University,3.22,299,108,7.6,0,Mathematics,Internship,MS,2+,Full,KUET,Rejected
The University of Texas at Austin,3.52,318,110,7.5,0,Biology,Full-time Job,MS,1,None,NSU,Rejected
University of Florida,3.61,292,98,7.5,0,Physics,Internship,PhD,2,Full,CUET,Rejected
Cornell University,3.32,298,112,7.7,0,CE,None,MS,0,Full,IUT,Accepted
Ohio State University,3.69,322,110,7.9,0,CE,None,PhD,1,Full,NSU,Accepted
University of Kansas,3.31,303,97,7.1,0,Physics,Full-time Job,MS,2,Partial,IUT,Accepted
University of Illinois Urbana-Champaign,3.74,316,95,8.4,0,ME,None,MS,3+,Partial,BRAC,Rejected
"University of California, Los Angeles",3.75,314,103,8.0,1,Mathematics,Full-time Job,MS,3+,Partial,KUET,Rejected
Virginia Tech,2.96,295,83,8.0,0,Biology,Internship,PhD,2,None,RUET,Rejected
The University of Texas at Arlington,3.0,295,119,7.9,1,Biology,Full-time Job,MS,0,Full,KUET,Accepted
Indiana University Bloomington,3.5,323,85,6.3,0,Physics,Full-time Job,MS,3+,Full,RUET,Rejected
University of Texas at Dallas,3.38,318,102,7.4,0,Biology,Internship,PhD,3+,Partial,BUET,Rejected
University of Arizona,3.35,300,91,6.7,0,Biology,Internship,PhD,2,Full,NSU,Rejected
Georgetown University,3.41,307,82,8.1,1,Physics,Full-time Job,PhD,2,Full,IUT,Rejected
West Virginia University,3.63,300,93,7.7,2,Biology,None,MS,2+,Partial,CUET,Rejected
Pratt Institute,3.18,322,92,6.9,1,ME,None,PhD,3+,Partial,CUET,Rejected
"University of California, Berkeley",3.38,324,104,7.9,2,Biology,Full-time Job,MS,2,Full,IUT,Rejected
Binghamton University,3.33,306,99,7.8,0,EEE,Internship,MS,2,Partial,BRAC,Accepted
Worcester Polytechnic Institute,3.35,301,113,7.5,2,CE,Internship,MS,1,None,DU,Accepted
University of Kansas,3.08,306,91,7.1,0,CSE,Full-time Job,PhD,1,None,NSU,Accepted
Louisiana State University,3.11,319,107,7.9,2,CSE,None,PhD,0,Full,KUET,Rejected
Georgia Institute of Technology,3.64,306,97,6.9,1,ME,Full-time Job,MS,1,Full,DU,Rejected
University of Alabama,3.15,301,102,7.4,1,Mathematics,None,MS,0,None,NSU,Accepted
Pennsylvania State University,3.11,297,89,8.0,0,CSE,Internship,MS,3+,Full,RUET,Rejected
University of Utah,3.16,300,105,7.2,0,Mathematics,Internship,PhD,3,None,BRAC,Rejected
University of Chicago,3.17,299,103,7.8,1,Physics,Internship,MS,3,Partial,KUET,Rejected
Dartmouth College,3.41,322,92,7.4,2,EEE,Full-time Job,PhD,1,Partial,BUET,Rejected
University of Toledo,4.0,298,110,7.0,0,CE,Internship,PhD,1,None,CUET,Rejected
Stevens Institute of Technology,3.57,311,105,7.6,0,ME,Full-time Job,PhD,3,Partial,CUET,Rejected
Rutgers University,3.43,301,93,7.9,1,Biology,None,MS,3,Full,RUET,Accepted
University of Kansas,3.59,310,100,7.4,0,EEE,Full-time Job,MS,0,Full,KUET,Rejected
University of Louisiana at Lafayette,3.51,310,93,7.8,1,EEE,None,MS,0,Full,CUET,Rejected
Rutgers University,3.42,309,92,7.6,0,ME,Full-time Job,MS,3,Partial,KUET,Rejected
George Mason University,3.45,300,120,6.6,0,CSE,Internship,PhD,2,Full,BRAC,Rejected
Oklahoma State University,3.74,306,117,7.8,1,CE,None,PhD,1,None,CUET,Rejected
University of Minnesota,3.24,312,87,6.8,0,Biology,Internship,PhD,2+,Full,BRAC,Accepted
Auburn University,3.08,304,82,7.4,0,Physics,None,PhD,2+,Full,CUET,Accepted
Rice University,3.87,319,80,7.5,1,CE,Full-time Job,MS,0,Partial,CUET,Rejected
University of Kansas,3.17,315,96,7.0,1,Biology,None,MS,3,None,KUET,Rejected
University of Minnesota,3.76,307,90,7.4,2,ME,Internship,MS,3+,None,BUET,Rejected
University of Tennessee,3.59,303,106,8.1,0,Mathematics,Full-time Job,PhD,3+,Partial,IUT,Rejected
Johns Hopkins University,3.41,316,95,7.2,1,Physics,Full-time Job,MS,3+,Partial,RUET,Rejected
Washington State University,3.73,317,99,7.1,0,EEE,None,PhD,3,None,CUET,Rejected
Purdue University,3.34,302,93,7.4,0,ME,None,MS,0,Partial,KUET,Rejected
Princeton University,3.26,319,99,7.1,1,CSE,None,MS,3+,Partial,NSU,Accepted
New Jersey Institute of Technology,3.55,320,94,7.9,2,ME,Internship,PhD,2,Partial,RUET,Accepted
Kansas State University,3.56,297,87,8.3,0,Biology,None,MS,1,Partial,KUET,Accepted
Colorado School of Mines,2.99,321,101,7.0,0,CE,Internship,MS,3+,Full,DU,Rejected
University of Central Florida,3.12,316,107,6.6,1,CSE,None,PhD,1,Partial,KUET,Rejected
University of Idaho,3.51,318,102,8.4,0,CSE,Internship,PhD,3,Partial,BUET,Rejected
Binghamton University,3.78,316,108,7.4,2,EEE,None,MS,2,Full,NSU,Accepted
University of Maryland,3.28,315,101,7.6,1,ME,None,MS,2+,Partial,DU,Rejected
University of Arizona,3.89,305,110,7.3,1,CE,None,MS,1,None,DU,Rejected
Cornell University,2.89,294,107,6.7,0,EEE,None,PhD,1,None,KUET,Rejected
Texas Tech University,3.81,320,101,8.6,0,Mathematics,Full-time Job,MS,0,Full,BRAC,Rejected
Washington University in St. Louis,3.38,319,94,7.3,0,CSE,Full-time Job,MS,0,Partial,KUET,Rejected
Rensselaer Polytechnic Institute,3.52,320,112,7.5,1,Mathematics,Full-time Job,PhD,2+,Partial,BRAC,Accepted
University of Notre Dame,3.0,309,92,7.7,0,Mathematics,Internship,PhD,2+,Partial,NSU,Rejected
University of Central Florida,3.0,315,88,7.0,0,CE,None,MS,2+,Partial,RUET,Rejected
Yale University,2.83,315,117,8.0,0,Biology,None,PhD,3,Partial,NSU,Rejected
Johns Hopkins University,3.45,307,100,7.9,1,Biology,Internship,PhD,3,Partial,CUET,Rejected
University of Pennsylvania,3.81,314,81,7.9,0,EEE,Full-time Job,MS,0,Full,RUET,Accepted
Florida State University,3.65,290,110,7.7,0,Biology,Internship,MS,2,None,RUET,Accepted
Brigham Young University,3.85,322,92,6.9,0,Biology,Full-time Job,PhD,2+,Full,CUET,Rejected
University of Wisconsin–Madison,3.74,301,105,7.0,0,Mathematics,None,PhD,0,None,BRAC,Accepted
University of Kansas,3.01,302,116,7.0,0,CSE,None,MS,3,Partial,RUET,Accepted
University of North Carolina at Chapel Hill,3.74,303,101,7.8,2,CE,Internship,MS,1,Partial,NSU,Accepted
Massachusetts Institute of Technology,3.37,301,98,7.5,0,CE,None,PhD,2,Full,RUET,Rejected
Rutgers University,3.63,309,85,7.7,0,CE,Full-time Job,PhD,3,None,BRAC,Rejected
South Dakota State University,3.32,313,106,7.7,2,Biology,Full-time Job,MS,3,Full,DU,Rejected
"University of California, Los Angeles",2.99,311,114,7.3,1,ME,Full-time Job,PhD,2,None,DU,Rejected
Arizona State University,3.13,300,94,6.8,2,Biology,None,PhD,3+,None,BRAC,Rejected
Ohio State University,3.45,303,89,8.1,2,Physics,Full-time Job,MS,0,Full,DU,Rejected
Stevens Institute of Technology,3.25,305,86,6.4,1,Biology,Internship,MS,1,Partial,CUET,Rejected
Massachusetts Institute of Technology,3.37,310,91,8.0,0,CE,Full-time Job,PhD,0,None,IUT,Accepted
Rice University,3.5,305,100,8.0,0,Biology,Internship,PhD,3+,Full,BRAC,Rejected
University College Dublin,3.6,294,96,7.5,0,Physics,None,MS,3+,None,KUET,Rejected
University of Illinois Chicago,3.83,329,98,6.7,0,Physics,Full-time Job,MS,0,Full,CUET,Rejected
University of Wisconsin–Madison,3.06,306,89,7.3,1,Biology,Full-time Job,PhD,3+,Partial,BRAC,Rejected
University of Virginia,3.34,330,96,7.7,0,Mathematics,Full-time Job,MS,1,Partial,CUET,Rejected
University of Wisconsin-Madison,3.94,300,113,7.5,0,EEE,Internship,PhD,3,Partial,BUET,Accepted
University of Chicago,3.48,304,102,8.1,0,CE,Full-time Job,MS,3,None,KUET,Rejected
Rutgers University,3.67,293,98,7.8,0,ME,None,PhD,1,Partial,BRAC,Accepted
University of Michigan,2.91,315,110,6.8,0,Mathematics,Internship,PhD,0,Partial,BRAC,Rejected
University of Florida,3.67,324,111,7.9,1,ME,None,PhD,0,Full,IUT,Accepted
University of Colorado Boulder,3.53,314,99,8.2,2,CE,Internship,PhD,0,None,CUET,Rejected
University of Colorado Boulder,3.44,317,99,8.0,0,Biology,Internship,PhD,3+,Partial,BUET,Accepted
Saint Louis University,3.25,314,98,7.6,0,Physics,Full-time Job,MS,3+,Partial,BUET,Accepted
Georgetown University,3.43,314,102,7.9,0,Biology,Full-time Job,MS,2+,Full,KUET,Rejected
University of Louisiana at Lafayette,3.46,325,98,7.3,0,Mathematics,Full-time Job,MS,2,None,BUET,Rejected
University of Texas at Arlington,3.58,308,99,8.3,0,CSE,Full-time Job,MS,3+,Partial,IUT,Rejected
South Dakota State University,3.34,323,109,7.2,0,Mathematics,Full-time Job,PhD,3+,Partial,NSU,Rejected
Auburn University,3.92,308,111,7.9,0,CSE,Full-time Job,MS,0,Partial,CUET,Rejected
Buffalo State University,3.33,311,109,7.6,0,CE,Full-time Job,PhD,3+,None,NSU,Accepted
University of Southern California,3.5,297,108,7.0,2,ME,Full-time Job,MS,2,Partial,DU,Rejected
University of Texas at El Paso,3.28,307,102,7.5,1,Physics,Internship,PhD,0,None,DU,Rejected
Dartmouth College,3.47,304,117,7.7,2,EEE,None,MS,1,Partial,CUET,Accepted
University of Kansas,3.19,305,108,7.2,2,Mathematics,Full-time Job,PhD,2,None,NSU,Accepted
University of Vermont,4.0,329,112,7.6,0,Mathematics,Internship,MS,3,None,BUET,Rejected
Pratt Institute,3.42,314,108,7.1,0,Biology,None,MS,0,Partial,RUET,Accepted
University of Illinois Urbana-Champaign,3.86,301,100,8.0,0,ME,Internship,MS,3+,None,RUET,Accepted
Oklahoma State University,3.91,300,107,6.9,0,Biology,Internship,MS,2+,Full,IUT,Accepted
University of Wollongong,3.41,311,114,7.7,1,CE,Internship,MS,3,None,NSU,Rejected
Fordham University,3.34,304,85,7.4,2,CE,Full-time Job,MS,3+,None,CUET,Rejected
Stevens Institute of Technology,3.11,308,92,7.9,1,Biology,None,PhD,0,Full,IUT,Accepted
University of Massachusetts Amherst,3.75,321,105,7.4,1,ME,Full-time Job,MS,3,Partial,RUET,Accepted
University of Maryland,3.37,310,92,7.6,0,Physics,Full-time Job,MS,1,Full,KUET,Accepted
University of Illinois Urbana-Champaign,3.39,296,91,6.9,0,Mathematics,Full-time Job,MS,3+,Partial,BRAC,Accepted
Fordham University,3.67,307,89,7.1,0,CE,Full-time Job,MS,3,None,BUET,Rejected
Texas Tech University,3.1,290,111,6.4,0,Mathematics,Full-time Job,PhD,3,Partial,IUT,Accepted
University of Kansas,3.49,311,107,8.3,0,ME,None,MS,3+,Full,IUT,Accepted
"University of California, Irvine",3.95,301,102,8.0,0,ME,Full-time Job,PhD,3,None,CUET,Accepted
Case Western Reserve University,3.49,296,115,7.6,1,CSE,None,MS,3,None,DU,Rejected
Missouri University of Science and Technology,3.8,301,102,6.9,1,CSE,None,PhD,2+,Partial,CUET,Rejected
University of Texas at El Paso,3.71,318,108,8.2,1,Mathematics,None,MS,1,Partial,DU,Rejected
Carnegie Mellon University,3.57,323,109,7.3,2,Biology,Internship,MS,3+,None,CUET,Accepted
Duke University,3.58,308,113,7.3,1,Physics,Full-time Job,PhD,3+,None,IUT,Accepted
Texas A&M University,3.47,300,99,8.4,0,CE,Full-time Job,PhD,3,Partial,BUET,Rejected
University of Central Florida,3.84,317,102,6.4,1,ME,Full-time Job,MS,3+,Full,BRAC,Rejected
Arizona State University,3.56,304,120,7.7,1,CE,Internship,PhD,2+,None,KUET,Rejected
University of North Carolina at Chapel Hill,2.66,299,95,6.9,0,CSE,None,PhD,0,None,BRAC,Accepted
University of Rhode Island,3.4,308,90,7.1,0,ME,Internship,MS,3+,None,BRAC,Accepted
Washington State University,3.46,305,90,7.4,0,CSE,None,PhD,3,None,DU,Accepted
Georgia Institute of Technology,3.54,316,95,7.2,0,Physics,Full-time Job,MS,2+,Full,KUET,Rejected
Yale University,3.27,317,94,8.2,1,CSE,Internship,MS,3,Partial,BUET,Accepted
University of Wisconsin–Madison,3.89,321,118,7.8,0,ME,None,MS,0,None,IUT,Accepted
Rensselaer Polytechnic Institute,3.12,315,90,7.7,0,EEE,Full-time Job,PhD,2,Full,DU,Rejected
Princeton University,3.61,310,107,6.8,0,Mathematics,Internship,PhD,3+,None,RUET,Accepted
University of Louisiana at Lafayette,2.67,316,93,7.6,2,Biology,None,MS,2+,Full,BUET,Rejected
Princeton University,3.43,313,99,8.0,1,CSE,None,MS,2+,Partial,KUET,Rejected
University of Pennsylvania,3.12,305,97,7.9,2,CSE,Full-time Job,MS,0,None,RUET,Accepted
University of Southern California,3.51,318,104,6.9,0,Physics,Internship,MS,3,Full,BRAC,Accepted
Carnegie Mellon University,3.29,290,112,7.6,1,EEE,None,PhD,1,None,RUET,Rejected
University of Illinois Chicago,3.69,307,82,6.8,0,Biology,Internship,MS,1,Full,RUET,Rejected
"University of California, Irvine",3.21,291,109,6.9,2,Physics,Full-time Job,MS,0,None,DU,Rejected
University of Massachusetts Dartmouth,3.05,307,101,7.0,1,Mathematics,Internship,PhD,3+,None,BRAC,Rejected
University of Rhode Island,3.84,308,114,6.9,2,CE,Internship,PhD,1,None,NSU,Rejected
Buffalo State University,3.62,307,106,7.2,0,CSE,Internship,PhD,3+,None,DU,Accepted
University of California San Diego,3.45,305,109,7.6,0,CSE,None,MS,2+,Partial,NSU,Accepted
Michigan State University,2.85,317,103,6.8,1,Physics,Full-time Job,PhD,2,Partial,BRAC,Accepted
Georgetown University,3.4,301,81,8.5,0,Mathematics,None,PhD,2,Full,BRAC,Rejected
Massachusetts Institute of Technology,3.01,295,99,7.7,0,Biology,Internship,MS,2+,Full,DU,Rejected
Fordham University,3.4,316,113,7.9,2,Physics,Internship,PhD,3+,Full,BUET,Accepted
Stevens Institute of Technology,3.22,320,100,7.4,0,EEE,Internship,MS,2+,Full,BUET,Accepted
University of Louisiana at Lafayette,3.43,301,109,7.1,0,CSE,Full-time Job,MS,2+,Full,NSU,Rejected
King Fahd University of Petroleum and Minerals,4.0,310,92,7.2,2,Biology,Internship,PhD,3,Partial,BRAC,Rejected
Georgia Institute of Technology,4.0,298,112,7.9,1,Physics,None,MS,2,Full,BUET,Accepted
"University of California, Riverside",3.33,310,103,7.0,2,EEE,None,MS,2,Partial,KUET,Accepted
Columbia University,3.28,313,101,6.2,0,CSE,Full-time Job,PhD,3,None,NSU,Rejected
University of Texas at Arlington,3.2,320,104,7.1,0,Physics,Internship,MS,3,Full,KUET,Accepted
Louisiana State University,3.37,304,99,7.9,2,Mathematics,Full-time Job,PhD,2+,Full,BRAC,Accepted
Johns Hopkins University,3.22,315,120,7.5,2,ME,None,PhD,3,Partial,RUET,Rejected
Texas Tech University,3.66,304,83,7.9,1,CSE,Full-time Job,PhD,2+,None,BRAC,Rejected
Worcester Polytechnic Institute,3.52,298,101,7.7,0,Physics,Full-time Job,MS,2,None,NSU,Accepted
University of North Carolina at Charlotte,3.48,320,93,7.9,0,CE,Full-time Job,PhD,1,Partial,RUET,Accepted
George Mason University,3.05,306,94,7.6,0,Mathematics,None,MS,3+,Partial,IUT,Rejected
Arizona State University,3.26,300,101,7.4,2,Biology,Full-time Job,MS,3+,None,IUT,Accepted
University of South Florida,2.64,306,96,7.5,2,CE,Full-time Job,PhD,2,Full,DU,Rejected
Dartmouth College,3.01,298,99,7.1,0,ME,None,MS,2,None,CUET,Rejected
University of Vermont,3.25,308,92,7.0,1,EEE,Internship,PhD,2+,Partial,DU,Accepted
Wayne State University,3.61,309,83,8.3,0,ME,Full-time Job,PhD,2+,None,BRAC,Accepted
Massachusetts Institute of Technology,3.73,306,81,7.4,0,ME,Internship,MS,3+,None,IUT,Rejected
Idaho State University,2.69,315,94,7.6,0,EEE,None,MS,2,Partial,CUET,Rejected
The University of Texas at Austin,3.25,303,101,7.3,0,EEE,Internship,MS,0,None,NSU,Rejected
"University of California, Santa Cruz",3.53,316,104,7.2,0,Physics,Full-time Job,MS,3+,Full,RUET,Rejected
University of Toledo,3.68,321,105,7.9,0,Physics,Internship,PhD,3+,Full,NSU,Rejected
University of South Florida,3.5,317,94,7.2,1,Mathematics,Internship,MS,2+,Full,RUET,Rejected
University of Illinois Urbana-Champaign,3.37,318,108,7.3,0,Physics,None,PhD,1,None,NSU,Accepted
University of Texas at Dallas,3.77,313,88,7.5,0,Mathematics,None,MS,3+,Full,BUET,Rejected
University of Arizona,2.83,302,84,8.0,0,Physics,Full-time Job,MS,2,None,KUET,Rejected
University of Pittsburgh,3.03,296,83,7.6,1,ME,Full-time Job,PhD,3+,Full,RUET,Rejected
South Dakota State University,3.13,302,96,6.8,1,EEE,Full-time Job,MS,2+,Full,KUET,Rejected
Ohio State University,3.17,312,87,8.0,0,CSE,None,PhD,0,Full,DU,Rejected
University of Texas at Dallas,3.64,315,104,6.8,2,EEE,Internship,PhD,0,None,KUET,Accepted
Saint Louis University,3.01,317,101,7.1,0,CE,Full-time Job,MS,3+,Full,NSU,Accepted
Wayne State University,3.36,312,84,7.3,0,CE,Internship,MS,2+,Full,DU,Accepted
Louisiana Tech University,3.88,306,114,7.0,0,CE,None,PhD,3,None,NSU,Accepted
Carnegie Mellon University,3.21,313,95,7.7,0,EEE,Full-time Job,MS,0,Partial,IUT,Rejected
Clemson University,3.59,315,93,8.0,1,CSE,Internship,PhD,3,Partial,CUET,Rejected
University of Minnesota,3.19,317,97,7.4,2,EEE,Internship,PhD,1,None,NSU,Rejected
Texas A&M University,3.15,320,107,6.8,0,CSE,None,MS,3+,Full,RUET,Rejected
University of Nebraska-Lincoln,3.23,321,101,7.5,1,CSE,None,MS,0,None,KUET,Rejected
Princeton University,3.63,323,113,8.3,2,CSE,Full-time Job,PhD,3+,Full,IUT,Accepted
King Fahd University of Petroleum and Minerals,3.43,318,95,7.2,2,Biology,Internship,MS,0,None,BUET,Rejected
Princeton University,3.36,303,80,7.2,2,Biology,None,MS,2,Partial,NSU,Accepted
Wayne State University,3.55,309,87,7.6,0,Mathematics,None,PhD,1,None,RUET,Rejected
Rice University,3.38,304,120,7.2,2,CSE,None,PhD,0,Full,BRAC,Accepted
University of Nebraska-Lincoln,3.13,306,110,6.2,0,Physics,Internship,MS,0,Full,BRAC,Accepted
University of Wollongong,3.31,327,105,7.3,0,EEE,None,MS,3+,None,DU,Accepted
Case Western Reserve University,3.11,312,110,8.1,0,ME,Internship,PhD,1,None,BUET,Accepted
"University of California, Santa Cruz",4.0,299,108,8.0,0,Mathematics,Full-time Job,PhD,3+,Full,CUET,Rejected
"University of California, Berkeley",3.64,299,83,7.7,0,CE,Full-time Job,PhD,2+,Partial,NSU,Rejected
West Virginia University,3.54,308,96,7.9,2,CE,Full-time Job,PhD,1,None,RUET,Rejected
Universiti Teknologi PETRONAS,3.64,297,98,8.5,0,Physics,Full-time Job,PhD,3,None,NSU,Accepted
Rice University,3.23,305,87,7.1,0,CSE,Full-time Job,MS,1,None,NSU,Accepted
University of Michigan,2.5,290,92,7.2,1,Biology,None,MS,0,Partial,DU,Rejected
University of Louisiana at Lafayette,3.22,303,97,7.3,0,EEE,Full-time Job,PhD,3,Full,BUET,Accepted
Stevens Institute of Technology,3.32,325,109,6.9,2,Physics,None,PhD,3,Partial,DU,Accepted
"University of California, Berkeley",2.93,305,98,7.1,0,EEE,Internship,MS,1,Partial,CUET,Rejected
University of Michigan,2.5,316,105,6.3,2,Mathematics,Full-time Job,MS,0,Full,IUT,Accepted
Ohio State University,3.58,327,112,8.0,2,CSE,Full-time Job,MS,2,None,BRAC,Accepted
"University of California, Irvine",3.91,291,106,7.8,0,EEE,None,MS,3,None,BRAC,Rejected
Dartmouth College,3.48,302,92,7.1,0,EEE,None,PhD,3,Partial,IUT,Rejected
University of Florida,3.51,317,94,7.3,0,CE,Internship,PhD,0,Partial,RUET,Accepted
University of Rhode Island,3.48,312,92,7.9,0,Mathematics,Full-time Job,PhD,3,None,IUT,Accepted
Rutgers University,3.45,310,90,6.3,0,Mathematics,Internship,PhD,0,Full,IUT,Accepted
Missouri University of Science and Technology,3.19,302,96,6.8,0,Biology,None,MS,3,Full,KUET,Accepted
University of Utah,3.53,323,92,7.3,0,EEE,None,PhD,0,None,KUET,Accepted
Saint Louis University,3.32,303,109,7.6,0,Biology,Full-time Job,PhD,2+,Full,BUET,Rejected
University of Wollongong,3.67,296,81,7.2,1,CE,Internship,PhD,3+,None,CUET,Rejected
University of California San Diego,3.52,321,102,8.6,1,ME,None,MS,2,Full,RUET,Accepted
University of Michigan,2.96,302,95,8.0,0,Biology,Internship,MS,1,Full,KUET,Rejected
Dartmouth College,3.44,302,103,6.8,0,EEE,Internship,MS,3+,Partial,IUT,Accepted
University of Florida,3.16,323,81,6.7,0,CE,Internship,MS,1,Full,DU,Rejected
University of South Florida,3.51,323,84,8.3,0,CE,None,MS,2,Partial,DU,Rejected
Stevens Institute of Technology,3.55,309,93,8.1,0,Biology,Full-time Job,MS,2,None,IUT,Accepted
Colorado State University,3.82,310,93,7.6,0,CSE,Full-time Job,PhD,3+,None,KUET,Rejected
University of Southern California,3.72,319,107,7.8,1,Physics,Internship,MS,1,Full,KUET,Rejected
University of Minnesota Duluth,3.65,322,109,8.3,2,ME,Internship,PhD,2+,Partial,DU,Accepted
University of Houston,3.11,304,95,7.6,0,CSE,Internship,PhD,0,Partial,BUET,Rejected
University of North Carolina at Charlotte,3.24,311,93,7.3,2,Physics,Full-time Job,MS,0,Partial,CUET,Rejected
Missouri State University,3.33,313,96,8.0,0,EEE,Internship,MS,3,None,CUET,Rejected
University of Colorado Boulder,3.28,313,97,7.4,2,CSE,Full-time Job,MS,1,None,CUET,Accepted
Dartmouth College,3.26,313,106,6.4,0,Biology,Internship,PhD,3+,None,KUET,Rejected
Harvard University,3.21,331,93,7.4,0,CE,Full-time Job,MS,3,None,BRAC,Accepted
Virginia Tech,3.62,307,115,7.7,0,Physics,Internship,PhD,3+,Full,KUET,Accepted
Louisiana Tech University,2.98,296,97,7.2,2,Physics,Internship,MS,2+,None,KUET,Accepted
Lehigh University,2.87,307,89,8.1,1,Mathematics,Full-time Job,MS,1,None,RUET,Rejected
Pratt Institute,2.94,309,103,7.4,2,CE,Internship,MS,2,Partial,RUET,Rejected
Universiti Teknologi PETRONAS,3.54,310,93,7.2,1,Biology,Full-time Job,MS,0,Full,DU,Rejected
University of Minnesota,3.73,309,93,7.0,2,Biology,None,PhD,3+,None,BRAC,Rejected
Saint Louis University,3.63,320,104,6.9,1,CSE,None,MS,2+,Partial,BRAC,Accepted
University of Notre Dame,3.52,326,109,8.0,0,EEE,None,PhD,2,Full,BUET,Accepted
"University of California, Los Angeles",2.85,304,91,6.7,2,Biology,Internship,PhD,2+,None,CUET,Rejected
Massachusetts Institute of Technology,3.71,316,94,7.2,0,Mathematics,Full-time Job,MS,3+,Full,KUET,Accepted
Ohio State University,3.27,299,105,7.8,0,CSE,None,PhD,1,None,DU,Accepted
Duke University,3.12,318,109,8.2,0,ME,Full-time Job,MS,1,Full,NSU,Accepted
Buffalo State University,3.59,326,98,7.4,0,Physics,None,MS,1,Full,BUET,Accepted
University of Notre Dame,3.89,303,98,7.9,0,Mathematics,None,PhD,3,Partial,NSU,Accepted
Boston University,3.13,309,97,7.4,2,ME,Internship,PhD,1,Full,IUT,Accepted
University of Connecticut ,3.01,298,92,7.6,0,CE,Full-time Job,MS,3,Full,NSU,Accepted
Yale University,3.49,300,103,7.5,0,Physics,Internship,MS,0,Partial,BUET,Accepted
University of Massachusetts Dartmouth,3.26,292,111,7.5,0,CE,Internship,MS,0,Full,CUET,Accepted
"University of Maryland, Baltimore County",2.89,300,102,8.1,1,CE,None,MS,1,Full,RUET,Accepted
University of Florida,3.37,323,95,7.7,0,Physics,Full-time Job,PhD,3+,None,BRAC,Rejected
University of Florida,3.63,322,102,7.6,0,Physics,Full-time Job,PhD,3,Partial,DU,Rejected
Stevens Institute of Technology,3.11,311,105,6.4,0,ME,Full-time Job,MS,1,None,NSU,Rejected
University of Minnesota,3.47,324,91,7.3,0,ME,Internship,MS,1,Full,BRAC,Rejected
Saint Louis University,3.56,318,86,7.8,2,CSE,Internship,MS,0,Full,KUET,Accepted
Illinois Institute of Technology,3.56,327,100,7.3,1,CE,Full-time Job,PhD,0,Full,RUET,Rejected
Georgetown University,3.36,304,107,6.5,0,CE,Internship,PhD,2+,None,IUT,Rejected
University of Nebraska-Lincoln,3.57,313,108,6.6,0,CE,Full-time Job,MS,1,Partial,RUET,Rejected
"University of California, Santa Barbara",3.29,325,98,7.2,1,CSE,Internship,PhD,3,Partial,RUET,Accepted
Rice University,3.58,312,104,7.0,1,CSE,Internship,MS,0,None,DU,Rejected
Northeastern University,3.45,325,98,7.3,0,CE,Internship,MS,3+,None,CUET,Rejected
Ohio State University,3.49,306,107,7.9,2,EEE,None,MS,0,None,NSU,Rejected
University of North Carolina at Charlotte,3.42,316,99,7.4,0,Mathematics,Full-time Job,PhD,1,None,BRAC,Rejected
Florida State University,3.33,315,105,6.7,0,CE,None,PhD,1,None,BRAC,Rejected
University of Pennsylvania,2.77,306,111,8.1,2,EEE,None,MS,3+,Partial,RUET,Rejected
"University of California, Santa Cruz",3.44,293,96,7.8,0,CE,None,PhD,3+,Partial,RUET,Rejected
Buffalo State University,3.26,299,95,6.8,0,Mathematics,Internship,MS,2,Full,KUET,Accepted
University of California San Diego,3.3,323,85,7.6,1,EEE,None,PhD,0,Full,NSU,Rejected
Ohio University,3.33,311,92,7.1,0,EEE,None,PhD,2+,None,DU,Rejected
Auburn University,3.25,335,112,6.7,0,Physics,Full-time Job,PhD,2,Partial,NSU,Accepted
Indiana University Bloomington,3.69,303,92,7.4,2,Biology,Internship,PhD,3,None,RUET,Rejected
Colorado School of Mines,3.77,310,100,7.8,2,Biology,None,PhD,3+,Partial,DU,Rejected
Michigan State University,3.25,308,96,6.5,0,Mathematics,None,MS,2,Full,DU,Rejected
George Mason University,2.99,315,100,7.8,0,Physics,Full-time Job,MS,1,Partial,BUET,Accepted
University of Wyoming,3.67,297,103,7.1,2,ME,None,PhD,1,None,RUET,Accepted
Illinois Institute of Technology,3.54,304,103,6.9,2,Mathematics,Internship,PhD,3+,None,IUT,Accepted
The University of Texas at Austin,3.5,301,89,7.6,0,Physics,Internship,PhD,3,Partial,IUT,Rejected
"University of California, Irvine",3.51,310,110,7.4,1,Biology,Full-time Job,MS,3+,None,CUET,Rejected
Buffalo State University,3.26,311,119,7.5,0,CE,None,PhD,1,None,CUET,Rejected
Rice University,3.63,304,99,8.1,2,ME,Full-time Job,MS,0,Partial,CUET,Rejected
